JAGS output for model 'JAGS/distance_JAGS_model_2025.txt', generated by jagsUI.
Estimates based on 3 chains of 9000 iterations,
adaptation = 3000 iterations (sufficient),
burn-in = 0 iterations and thin rate = 30,
yielding 900 total samples from the joint posterior. 
MCMC ran for 0.929 minutes at time 2025-10-13 07:38:04.353443.

               mean   sd  2.5%   50% 97.5% overlap0    f Rhat n.eff
alpha_int      3.82 0.06  3.71  3.82  3.93    FALSE 1.00 1.01   162
alpha_Y10_13  -0.94 0.26 -1.27 -1.01 -0.30    FALSE 0.99 1.00   900
alpha_Y18     -3.87 1.02 -4.96 -4.16 -1.28    FALSE 0.99 1.00   900
alpha_Y19     -0.07 0.08 -0.23 -0.07  0.09     TRUE 0.81 1.00   536
alpha_Y24      0.01 0.09 -0.15  0.01  0.18     TRUE 0.56 1.01   234
alpha_Y25      0.15 0.10 -0.03  0.14  0.34     TRUE 0.94 1.00   581
beta_int       2.64 0.17  2.29  2.65  2.95    FALSE 1.00 1.07    38
beta_field     1.01 0.17  0.69  1.00  1.36    FALSE 1.00 1.03    74
beta_Y10      -3.76 0.90 -4.95 -3.94 -1.79    FALSE 1.00 1.00   507
beta_Y12      -3.73 0.92 -4.94 -3.89 -1.61    FALSE 1.00 1.00   900
beta_Y13      -3.70 0.94 -4.94 -3.90 -1.62    FALSE 1.00 1.00   900
beta_Y19       0.69 0.23  0.24  0.69  1.17    FALSE 1.00 1.05    48
beta_Y24       0.34 0.22 -0.06  0.33  0.80     TRUE 0.94 1.04    62
beta_Y25       0.52 0.22  0.11  0.51  0.98    FALSE 0.99 1.04    55
beta_fieldY10 -2.34 1.78 -4.90 -2.55  1.31     TRUE 0.89 1.00   713
beta_fieldY12 -2.17 1.78 -4.88 -2.36  1.58     TRUE 0.86 1.00   900
beta_fieldY13 -2.32 1.72 -4.87 -2.53  1.18     TRUE 0.87 1.00   900
beta_fieldY19 -0.69 0.23 -1.13 -0.69 -0.24    FALSE 1.00 1.03    83
beta_fieldY24 -0.71 0.22 -1.15 -0.71 -0.31    FALSE 1.00 1.02    92
beta_fieldY25 -1.31 0.23 -1.78 -1.31 -0.85    FALSE 1.00 1.03    78
D.S.Y10        0.03 0.08  0.00  0.01  0.23    FALSE 1.00 1.06   232
D.K.Y10        0.04 0.05  0.01  0.02  0.18    FALSE 1.00 1.00   900
D.S.Y12        0.03 0.07  0.00  0.01  0.19    FALSE 1.00 1.02   900
D.K.Y12        0.04 0.06  0.01  0.02  0.20    FALSE 1.00 1.03   900
D.S.Y13        0.03 0.05  0.00  0.01  0.20    FALSE 1.00 1.01   900
D.K.Y13        0.04 0.07  0.01  0.02  0.20    FALSE 1.00 1.05   900
D.S.Y18        2.91 0.37  2.29  2.90  3.64    FALSE 1.00 1.01   192
D.K.Y18        1.07 0.18  0.74  1.06  1.44    FALSE 1.00 1.07    38
D.S.Y19        2.92 0.37  2.26  2.90  3.74    FALSE 1.00 1.00   900
D.K.Y19        2.13 0.29  1.62  2.12  2.77    FALSE 1.00 1.00   900
D.S.Y24        2.01 0.29  1.47  2.01  2.61    FALSE 1.00 1.00   900
D.K.Y24        1.50 0.22  1.11  1.48  1.98    FALSE 1.00 1.00   900
D.S.Y25        1.32 0.21  0.96  1.31  1.77    FALSE 1.00 1.00   685
D.K.Y25        1.78 0.25  1.35  1.76  2.32    FALSE 1.00 1.00   900
lam.S.Y10      0.11 0.26  0.00  0.02  0.76    FALSE 1.00 1.06   232
lam.K.Y10      0.13 0.16  0.02  0.07  0.60    FALSE 1.00 1.00   900
lam.S.Y12      0.11 0.23  0.00  0.02  0.63    FALSE 1.00 1.02   900
lam.K.Y12      0.14 0.19  0.02  0.07  0.66    FALSE 1.00 1.03   900
lam.S.Y13      0.09 0.18  0.00  0.02  0.65    FALSE 1.00 1.01   900
