| Parameter     | Mean    | SD    | 2.5%    | 50%     | 97.5%   | Overlap0 | f     | Rhat  | n.eff |
| ------------- | ------- | ----- | ------- | ------- | ------- | -------- | ----- | ----- | ----- |
| alpha_Int     | 3.747   | 0.048 | 3.659   | 3.745   | 3.847   | FALSE    | 1.000 | 1.000 | 24719 |
| alpha_year[4] | 0.006   | 0.051 | -0.098  | 0.002   | 0.122   | TRUE     | 0.538 | 1.000 | 90000 |
| alpha_year[5] | 0.015   | 0.060 | -0.093  | 0.004   | 0.162   | TRUE     | 0.579 | 1.000 | 90000 |
| alpha_year[6] | -0.003  | 0.047 | -0.106  | -0.001  | 0.097   | TRUE     | 0.518 | 1.000 | 44744 |
| alpha_year[7] | -0.018  | 0.049 | -0.134  | -0.008  | 0.070   | TRUE     | 0.630 | 1.000 | 90000 |
| sd_year       | 0.093   | 0.122 | 0.002   | 0.058   | 0.408   | FALSE    | 1.000 | 1.001 | 34670 |
| beta_Int      | 1.685   | 0.269 | 1.135   | 1.696   | 2.191   | FALSE    | 1.000 | 1.002 | 1093  |
| beta_fieldS   | 0.752   | 0.296 | 0.187   | 0.747   | 1.339   | FALSE    | 0.996 | 1.003 | 1049  |
| beta_Y10      | 1.277   | 0.284 | 0.737   | 1.271   | 1.856   | FALSE    | 1.000 | 1.002 | 1066  |
| beta_Y12      | 0.845   | 0.301 | 0.269   | 0.839   | 1.448   | FALSE    | 0.998 | 1.002 | 1374  |
| beta_Y13      | 0.458   | 0.318 | -0.158  | 0.455   | 1.089   | TRUE     | 0.927 | 1.001 | 1584  |
| beta_Y19      | -0.862  | 0.464 | -1.813  | -0.849  | 0.013   | TRUE     | 0.973 | 1.001 | 1778  |
| beta_Y24      | 0.498   | 0.335 | -0.146  | 0.494   | 1.168   | TRUE     | 0.934 | 1.002 | 1361  |
| beta_Y25      | 0.745   | 0.324 | 0.129   | 0.737   | 1.401   | FALSE    | 0.991 | 1.001 | 2121  |
| beta_fld10    | -0.471  | 0.341 | -1.146  | -0.466  | 0.187   | TRUE     | 0.919 | 1.002 | 1096  |
| beta_fld12    | -0.108  | 0.356 | -0.814  | -0.105  | 0.584   | TRUE     | 0.615 | 1.002 | 1266  |
| beta_fld13    | 0.697   | 0.365 | -0.024  | 0.698   | 1.405   | TRUE     | 0.972 | 1.002 | 1511  |
| beta_fld19    | 0.406   | 0.518 | -0.591  | 0.399   | 1.444   | TRUE     | 0.784 | 1.001 | 1630  |
| beta_fld24    | -0.157  | 0.382 | -0.914  | -0.156  | 0.579   | TRUE     | 0.659 | 1.002 | 1459  |
| beta_fld25    | -0.516  | 0.375 | -1.261  | -0.514  | 0.211   | TRUE     | 0.918 | 1.001 | 1782  |
| lam.S.Y10     | 6.473   | 0.913 | 4.830   | 6.424   | 8.418   | FALSE    | 1.000 | 1.000 | 20774 |
| lam.K.Y10     | 4.891   | 0.731 | 3.583   | 4.849   | 6.443   | FALSE    | 1.000 | 1.000 | 31189 |
| lam.S.Y12     | 6.041   | 0.870 | 4.477   | 5.990   | 7.877   | FALSE    | 1.000 | 1.000 | 17861 |
| lam.K.Y12     | 3.188   | 0.564 | 2.189   | 3.151   | 4.398   | FALSE    | 1.000 | 1.000 | 35227 |
| lam.S.Y13     | 9.150   | 1.158 | 7.044   | 9.090   | 11.583  | FALSE    | 1.000 | 1.000 | 27332 |
| lam.K.Y13     | 2.177   | 0.448 | 1.399   | 2.143   | 3.159   | FALSE    | 1.000 | 1.000 | 53510 |
| lam.S.Y18     | 2.922   | 0.605 | 1.874   | 2.873   | 4.246   | FALSE    | 1.000 | 1.000 | 11715 |
| lam.K.Y18     | 1.397   | 0.371 | 0.778   | 1.363   | 2.236   | FALSE    | 1.000 | 1.002 | 1293  |
| lam.S.Y19     | 1.872   | 0.472 | 1.073   | 1.830   | 2.918   | FALSE    | 1.000 | 1.000 | 29784 |
| lam.K.Y19     | 0.613   | 0.234 | 0.248   | 0.581   | 1.153   | FALSE    | 1.000 | 1.000 | 26403 |
| lam.S.Y24     | 4.089   | 0.735 | 2.796   | 4.037   | 5.683   | FALSE    | 1.000 | 1.000 | 79806 |
| lam.K.Y24     | 2.270   | 0.484 | 1.435   | 2.233   | 3.326   | FALSE    | 1.000 | 1.000 | 53406 |
| lam.S.Y25     | 3.659   | 0.695 | 2.464   | 3.602   | 5.184   | FALSE    | 1.000 | 1.000 | 60651 |
| lam.K.Y25     | 2.895   | 0.573 | 1.907   | 2.850   | 4.147   | FALSE    | 1.000 | 1.000 | 31457 |
| pcap10        | 0.324   | 0.026 | 0.277   | 0.322   | 0.381   | FALSE    | 1.000 | 1.000 | 24209 |
| pcap12        | 0.324   | 0.026 | 0.277   | 0.322   | 0.381   | FALSE    | 1.000 | 1.000 | 24209 |
| pcap13        | 0.324   | 0.026 | 0.277   | 0.322   | 0.381   | FALSE    | 1.000 | 1.000 | 24209 |
| pcap18        | 0.328   | 0.040 | 0.261   | 0.324   | 0.419   | FALSE    | 1.000 | 1.000 | 34812 |
| pcap19        | 0.333   | 0.048 | 0.257   | 0.326   | 0.451   | FALSE    | 1.000 | 1.000 | 62907 |
| pcap24        | 0.323   | 0.034 | 0.263   | 0.320   | 0.398   | FALSE    | 1.000 | 1.000 | 90000 |
| pcap25        | 0.315   | 0.033 | 0.253   | 0.314   | 0.384   | FALSE    | 1.000 | 1.000 | 21389 |
| deviance      | 1955.36 | 5.734 | 1946.15 | 1954.69 | 1968.41 | FALSE    | 1.000 | 1.000 | 22910 |
